Date,Open,High,Low,close,adj_close,Volume,daily_returns_adj,daily_fwd_returns_adj
19-Oct-23,28332.42,28892.47,28177.99,28719.81,28719.81,14448058195,-0.013630661,0.013819024
18-Oct-23,28413.53,28889.01,28174.25,28328.34,28328.34,12724128586,0.003085603,-0.003076111
17-Oct-23,28522.1,28618.75,28110.19,28415.75,28415.75,14872527508,0.003650088,-0.003636814
16-Oct-23,27162.63,29448.14,27130.47,28519.47,28519.47,27833876539,-0.047680409,0.050067656
15-Oct-23,26858.01,27289.17,26817.89,27159.65,27159.65,7098201980,-0.01096995,0.011091624
14-Oct-23,26866.2,26969,26814.59,26861.71,26861.71,5388116782,2.49426E-05,-2.49419E-05
13-Oct-23,26752.88,27092.7,26686.32,26862.38,26862.38,15165312851,-0.003930404,0.003945913
12-Oct-23,26873.29,26921.44,26558.32,26756.8,26756.8,9392909295,0.004354781,-0.004335899
11-Oct-23,27392.08,27474.12,26561.1,26873.32,26873.32,13648094333,0.01926446,-0.018900355
10-Oct-23,27589.2,27715.85,27301.65,27391.02,27391.02,9973350678,0.007033692,-0.006984565
09-Oct-23,27934.47,27989.47,27302.56,27583.68,27583.68,12007668568,0.012739779,-0.012579519
08-Oct-23,27971.68,28102.17,27740.66,27935.09,27935.09,7916875290,0.001208158,-0.0012067
07-Oct-23,27946.78,28028.09,27870.42,27968.84,27968.84,6553044316,-0.000795171,0.000795803
06-Oct-23,27412.12,28252.54,27215.55,27946.6,27946.6,13492391599,-0.01898943,0.019357008
05-Oct-23,27798.65,28091.86,27375.6,27415.91,27415.91,11877253670,0.013987498,-0.013794547
04-Oct-23,27429.07,27826.66,27248.11,27799.39,27799.39,11143355314,-0.013288421,0.013467381
03-Oct-23,27508.25,27667.19,27216,27429.98,27429.98,11407814187,0.003675176,-0.003661718
02-Oct-23,27976.8,28494.46,27347.79,27530.79,27530.79,19793041322,0.016452852,-0.016186537
01-Oct-23,26967.4,28047.24,26965.09,27983.75,27983.75,9503917434,-0.03630071,0.037668089
30-Sep-23,26911.69,27091.79,26888.97,26967.92,26967.92,5331172801,-0.002083958,0.002088309
29-Sep-23,27024.84,27225.94,26721.76,26911.72,26911.72,10396435377,0.004081122,-0.004064534
28-Sep-23,26355.81,27259.5,26327.32,27021.55,27021.55,14079002707,-0.024751726,0.025379923
27-Sep-23,26209.5,26817.84,26111.46,26352.72,26352.72,11718380997,-0.005140646,0.005167209
26-Sep-23,26294.76,26389.88,26090.71,26217.25,26217.25,9985498161,0.003098342,-0.003088772
25-Sep-23,26253.78,26421.51,26011.47,26298.48,26298.48,11997833257,-0.001583742,0.001586254
24-Sep-23,26579.37,26716.06,26221.05,26256.83,26256.83,8192867686,0.012284804,-0.012135719
23-Sep-23,26578.56,26634.19,26520.52,26579.39,26579.39,7404700301,6.77216E-06,-6.77212E-06
22-Sep-23,26564.06,26726.08,26495.53,26579.57,26579.57,10578746709,-0.000449217,0.000449419
21-Sep-23,27129.84,27152.94,26389.3,26567.63,26567.63,13371443708,0.021243144,-0.02080126
20-Sep-23,27210.23,27379.51,26864.08,27132.01,27132.01,13281116604,0.002915744,-0.002907267
