Date,Open,High,Low,Close ,Adj_Close ,Volume,daily_returns,prct_returns
2023-11-05,35090.01,35340.34,34594.24,35049.36,35049.36,12412743996,-0.000342089,-0.000342089
2023-11-06,35044.79,35286.03,34765.36,35037.37,35037.37,12693436420,0.011593051,0.011593051
2023-11-07,35047.79,35892.42,34545.82,35443.56,35443.56,18834737789,0.005973441,0.005973441
2023-11-08,35419.48,35994.42,35147.8,35655.28,35655.28,17295394918,0.029107891,0.029107891
2023-11-09,35633.63,37926.26,35592.1,36693.13,36693.13,37762672382,0.016919789,0.016919789
2023-11-10,36702.25,37493.8,36362.75,37313.97,37313.97,22711265155,-0.004714588,-0.004714588
2023-11-11,37310.07,37407.09,36773.67,37138.05,37138.05,13924272142,-0.002249176,-0.002249176
2023-11-12,37133.99,37227.69,36779.12,37054.52,37054.52,11545715999,-0.014901286,-0.014901286
2023-11-13,37070.3,37405.12,36399.61,36502.36,36502.36,19057712790,-0.026428976,-0.026428976
2023-11-14,36491.79,36753.35,34948.5,35537.64,35537.64,23857403554,0.065928407,0.065928407
2023-11-15,35548.11,37964.89,35383.78,37880.58,37880.58,27365821679,-0.045559229,-0.045559229
2023-11-16,37879.98,37934.63,35545.47,36154.77,36154.77,26007385366,0.01222273,0.01222273
2023-11-17,36164.82,36704.48,35901.23,36596.68,36596.68,22445028430,-0.000300027,-0.000300027
2023-11-18,36625.37,36839.28,36233.31,36585.7,36585.7,11886022717,0.0218897,0.0218897
2023-11-19,36585.77,37509.36,36414.6,37386.55,37386.55,12915986553,0.002418249,0.002418249
2023-11-20,37374.07,37756.82,36882.53,37476.96,37476.96,20888209068,-0.044377932,-0.044377932
2023-11-21,37469.16,37631.14,35813.81,35813.81,35813.81,25172163756,0.045192902,0.045192902
2023-11-22,35756.55,37856.98,35670.97,37432.34,37432.34,24397247860,-0.003812746,-0.003812746
2023-11-23,37420.43,37643.92,36923.86,37289.62,37289.62,14214948217,0.011549058,0.011549058
2023-11-24,37296.32,38415.34,37261.61,37720.28,37720.28,22922957823,0.002028352,0.002028352
2023-11-25,37721.41,37892.43,37617.42,37796.79,37796.79,9099571165,-0.008404682,-0.008404682
2023-11-26,37796.83,37820.3,37162.75,37479.12,37479.12,13744796068,-0.006002009,-0.006002009
2023-11-27,37454.19,37559.36,36750.13,37254.17,37254.17,19002925720,0.015486052,0.015486052
2023-11-28,37247.99,38368.48,36891.09,37831.09,37831.09,21696137014,0.000724272,0.000724272
2023-11-29,37826.11,38366.11,37612.63,37858.49,37858.49,20728546658,-0.003849599,-0.003849599
2023-11-30,37861.12,38141.75,37531.14,37712.75,37712.75,18115982627,0.025879842,0.025879842
