Feature,MI
X242,0.03678863208645655
X462,0.036627351705993405
X37,0.036411413036768536
X116,0.03640185723104983
X74,0.0363941827500498
X733,0.03635001534523319
X158,0.03634179190969089
X720,0.0363331239247513
X579,0.03631555484355964
X186,0.036260483224277884
X773,0.03613975678235093
X433,0.036136908510329135
X458,0.0360898335138522
X661,0.036086470974127316
X491,0.03602074919418197
X526,0.035998667836603104
X363,0.035926820871951204
X794,0.035924875569025794
X49,0.0359043040164595
X321,0.03581175406856163
X405,0.03580809496206827
X575,0.03562014581966899
X113,0.035435324324210704
X769,0.03537335440967482
X314,0.03535274998434712
X797,0.03518836806658765
X768,0.035184844115653924
X234,0.03505340316988104
X93,0.035029241498703456
X489,0.03502663151926022
X796,0.034886679762149875
X155,0.03488186554871131
X269,0.03483316951892057
X800,0.0348189925481206
X847,0.03472413000057184
X340,0.03462562081862597
X129,0.03459948118555012
X47,0.03458927841532855
X772,0.03449134614029159
X580,0.03446075602174936
X41,0.03445609132540284
X667,0.03431103428609106
X198,0.03430281734519003
X774,0.034243678322637194
X270,0.03423923677233631
X479,0.034219886284718726
X770,0.03421747336724046
X516,0.03414613460088045
X481,0.03410947107288287
X79,0.034046913220210584
X457,0.03395132444045856
X572,0.03375156478979502
X45,0.03371881456740944
X434,0.03370410549855407
X43,0.03370063047037686
X73,0.033696802631331124
X39,0.03368585956027559
X484,0.03356190841190099
X184,0.033550048577323466
X576,0.033490598934801774
X788,0.03346677133812559
X235,0.033448002480122696
X324,0.033444269350643374
X488,0.033400123144643246
X483,0.033288584236491836
X535,0.03328194470583701
X451,0.03327879323392757
X490,0.03325871746220255
X790,0.033210023792147325
X271,0.033160215326699216
X177,0.03312754732470413
X409,0.03310908181297112
X277,0.032859391529767024
X461,0.03281485128796202
X793,0.03279556807374284
X171,0.032450281967870254
X87,0.032343230331742134
X376,0.03227387198613041
X279,0.03226250060719327
X360,0.03222021904901329
X334,0.03218324856866417
X792,0.03218014091300958
X152,0.03211563749136648
X331,0.032097268290264935
X531,0.032054609924967004
X110,0.032048235952511384
X68,0.03204086245234583
X764,0.03192146443316801
X473,0.03187691052516506
X278,0.03171869000677585
X789,0.03155454611872166
X567,0.03145117559502797
X308,0.03138613983736427
X766,0.03132402011205837
X165,0.031181483913447217
X123,0.031109825098154076
X81,0.03110708453536759
X268,0.03101653074935129
X315,0.03097681067087832
X399,0.030915817797685374
X765,0.03085200900039542
X382,0.030850841964419118
X527,0.03084931742527619
X357,0.0307986691911859
X370,0.030676452436840584
X543,0.030603209460907
X684,0.030547919542262214
X518,0.030534088135834025
X687,0.030407305862194534
X162,0.030362980962277852
X61,0.03024705991906984
X67,0.03018369739723159
X482,0.030121336153711376
X213,0.03009458625665129
X187,0.030057746934420315
X436,0.02985939079597344
X264,0.02980303073289381
X584,0.02971795296066193
X276,0.02959156335642188
X223,0.029544047170684706
X678,0.02944344583765801
X78,0.029343102499462148
X719,0.029320304880109838
X424,0.029269722408420407
X858,0.029253167531870794
X693,0.029209588518863683
X71,0.029169503637541894
X22,0.029163054127673504
X592,0.029142715665238406
X443,0.029062725072246387
X21,0.028919725876091817
X120,0.02879752309851913
X418,0.028765106009788433
X472,0.028482228339873572
X762,0.028403445220093637
X191,0.0283375059451485
X403,0.028181626157302908
X511,0.028117332104401704
X450,0.028098186651915213
X20,0.028074293835729236
X460,0.02788791179166772
X718,0.02779311037183607
X662,0.027765454819623336
X76,0.02773065208988701
X565,0.027727894701753186
X432,0.027635250492460628
X413,0.027592329926913628
X117,0.027434079116776644
X509,0.027421355697594407
X159,0.027402507689362032
X328,0.027371414239493852
X478,0.027368019848864833
X107,0.0272487043984162
X263,0.027202293779517106
X19,0.02718620746710876
X435,0.027173129742038782
X560,0.02709388972415816
X267,0.02706869310727278
X190,0.027050900320627846
X224,0.027001603497120996
X760,0.026936682299052883
X15,0.026902393206020392
X665,0.026893863530171203
X23,0.026836883015231905
X188,0.02671842008600578
X605,0.026691224693442095
X226,0.026679744565754504
X149,0.026656001775511307
X189,0.026560468930274084
X761,0.026543226388789698
X156,0.026411660293327976
X16,0.026384398019172473
X558,0.026382677096016494
X437,0.026370860615311464
X329,0.026347740854629542
X412,0.026336961370846623
X585,0.02624619697290176
X72,0.026066231331449252
X402,0.026055852014622793
X233,0.026054681517689637
X471,0.025970487771240336
X865,0.025899573054816827
X438,0.025843708968164236
X185,0.025830763338094975
X860,0.025825929468296316
X652,0.025773725189734975
X160,0.025593765819666103
X225,0.025525868571553367
X859,0.025507264845565203
X367,0.025494459791026713
X371,0.025479775395676363
X658,0.025335965910129765
X197,0.025254372104534184
X150,0.025237048352309444
X24,0.025228515567822463
X528,0.025109453669052817
X256,0.025088040472009077
X668,0.025007830952395338
X759,0.02480544385744432
X318,0.024641715610490778
X456,0.02463433192049358
X25,0.024627317705351537
X9,0.024623849024655975
X222,0.024581402642861683
X551,0.024568697334495404
X536,0.024440326772489085
X146,0.024433027744759084
X205,0.024427672909641984
X261,0.024359586139855338
X104,0.024359376621814866
X114,0.02434461205826466
X325,0.024328575167740674
X62,0.024317338062521676
X502,0.024302892399926
X275,0.024203140253510114
X397,0.024201832835154313
X118,0.024071236751163738
X863,0.024067568666221284
X60,0.023992637271030404
X17,0.02391661433029313
X675,0.023860814148642717
X649,0.023745043866658655
X309,0.02369606980993022
X153,0.02358754530147067
X14,0.02354657518056591
X351,0.023527944597754757
X495,0.0234908941182983
X354,0.02346009205016042
X391,0.02341251383981824
X393,0.02341006676395252
X70,0.023406680175144245
X835,0.02322858102457026
